W, L, MP, ftkd, stkd
12, 16, 0, 0.82, 1.01
5, 16, 0, 0.82, 1.01
16, 13, 1, 0.82, 1.01
2, 16, 0, 0.82, 1.01
6, 16, 0, 0.82, 1.01
12, 16, 0, 0.82, 0.99
13, 16, 0, 0.82, 0.99
7, 5, 1, 0.82, 0.99
10, 7, 1, 0.82, 0.99
7, 4, 1, 0.82, 0.99
2, 4, 0, 0.82, 0.99
4, 1, 1, 0.82, 0.99
2, 4, 0, 0.82, 0.99
14, 16, 0, 0.82, 0.97
11, 16, 0, 0.82, 0.93
5, 16, 0, 0.82, 0.99
16, 5, 1, 0.82, 0.96
7, 16, 0, 0.82, 0.95
6, 16, 0, 0.82, 0.95
10, 16, 0, 0.82, 0.97
11, 16, 0, 0.82, 0.97
14, 16, 0, 0.82, 1.15
11, 16, 0, 0.82, 1.15
7, 16, 0, 0.82, 1.24
12, 16, 0, 0.82, 1.24
11, 16, 0, 0.82, 1.05
8, 16, 0, 0.82, 1.05
13, 16, 0, 0.97, 0.95
9, 16, 0, 0.97, 0.95
19, 16, 1, 0.97, 0.94
14, 16, 0, 0.97, 0.94
16, 8, 1, 0.97, 0.94
6, 16, 0, 0.97, 1.01
4, 16, 0, 0.97, 1.01
10, 16, 0, 0.97, 0.95
1, 16, 0, 0.97, 0.95
16, 10, 1, 0.97, 1.05
16, 6, 1, 0.97, 1.05
8, 16, 0, 0.97, 0.94
7, 16, 0, 0.97, 1.01
11, 16, 0, 0.97, 1.01
16, 12, 1, 0.97, 1.01
16, 4, 1, 0.97, 0.99
19, 15, 1, 0.97, 0.99
16, 9, 1, 0.97, 1.01
5, 16, 0, 0.97, 1.01
16, 10, 1, 0.97, 1.01
11, 16, 0, 0.97, 1.01
16, 14, 1, 0.97, 1.01
18, 22, 0, 0.97, 1.01
19, 16, 1, 0.97, 0.94
16, 7, 1, 0.97, 0.94
13, 16, 0, 0.97, 1.01
16, 14, 1, 0.97, 1.01
10, 16, 0, 0.97, 1.01
7, 16, 0, 0.97, 0.99
1, 16, 0, 0.97, 0.94
16, 6, 1, 1.24, 1.10
16, 11, 1, 1.24, 1.10
11, 16, 0, 1.24, 1.10
16, 5, 1, 1.24, 1.01
16, 12, 1, 1.24, 1.01
16, 11, 1, 1.24, 0.95
16, 10, 1, 1.24, 0.95
16, 4, 1, 1.24, 1.07
19, 22, 0, 1.24, 1.07
16, 14, 1, 1.24, 1.07
19, 15, 1, 1.24, 0.99
16, 6, 1, 1.24, 0.99
7, 16, 0, 1.24, 0.95
16, 7, 1, 1.24, 0.95
11, 16, 0, 1.24, 0.95
16, 7, 1, 1.24, 1.01
6, 16, 0, 1.24, 1.01
16, 12, 1, 1.24, 1.01
16, 6, 1, 1.24, 1.01
16, 7, 1, 1.24, 1.01
16, 12, 1, 1.24, 0.99
14, 16, 0, 1.24, 0.99
16, 11, 1, 1.24, 0.99
16, 11, 1, 1.24, 0.95
16, 4, 1, 1.24, 0.95
22, 19, 1, 1.24, 1.07
16, 11, 1, 1.24, 1.07
16, 3, 1, 1.24, 1.10
16, 8, 1, 1.24, 1.10
16, 13, 1, 1.24, 1.0
16, 5, 1, 1.08, 1.00
13, 16, 0, 1.08, 1.00
16, 14, 1, 1.08, 1.00
16, 7, 1, 1.08, 0.89
16, 8, 1, 1.08, 0.89
16, 10, 1, 1.08, 0.99
16, 11, 1, 1.08, 0.99
14, 16, 0, 1.08, 1.00
7, 16, 0, 1.08, 1.00
16, 4, 1, 1.08, 1.00
10, 16, 0, 1.08, 1.18
16, 19, 0, 1.08, 1.18
6, 16, 0, 1.08, 0.94
16, 11, 1, 1.08, 1.10
16, 12, 1, 1.08, 0.92
5, 16, 0, 1.08, 1.08
16, 14, 1, 1.08, 0.92
16, 11, 1, 1.0, 0.89
16, 6, 1, 1.0, 0.89
7, 16, 0, 1.0, 0.89
5, 16, 0, 1.0, 1.08
16, 13, 1, 1.0, 1.08
14, 16, 0, 1.0, 1.08
16, 11, 1, 1.0, 0.91
14, 16, 0, 1.0, 0.91
16, 14, 1, 1.0, 0.91
8, 16, 0, 1.0, 1.23
11, 16, 0, 1.0, 1.23
14, 16, 0, 1.0, 1.00
12, 16, 0, 1.0, 1.00
19, 17, 1, 1.0, 1.00
16, 14, 1, 1.0, 0.96
22, 20, 1, 1.0, 0.96
12, 16, 0, 1.0, 0.96
10, 16, 0, 1.0, 0.99
19, 17, 1, 1.0, 0.99
11, 16, 0, 1.0, 0.99